,cant_carga,total_trips,demanda,latitude,longitude
492,0,0,0,-12.2169902,-76.9431732
493,2,1,2,-12.2158001,-76.9406103
494,0,0,0,-12.2157816,-76.9349888
495,40,2,80,-12.2116222,-76.9396523
496,40,1,40,-12.2126905,-76.941426
497,0,0,0,-12.2127612,-76.941701
498,0,0,0,-12.2130552,-76.9429582
499,150,2,300,-12.2127009,-76.9430744
500,0,0,0,-12.211614,-76.9430977
501,2,2,4,-12.2111389,-76.9462223
502,10,2,20,-12.2138046,-76.9355761
503,300,3,900,-12.012568744842,-76.9803836849304
504,0,0,0,-12.0160904852785,-76.9830172789069
505,0,0,0,-12.0178321609385,-76.9843372610183
506,0,0,0,-12.0180320820435,-76.9838192534663
507,0,0,0,-12.0183132402711,-76.9840024039866
508,0,0,0,-12.0183287887015,-76.9837672077836
509,0,0,0,-12.0180132938661,-76.9837692194404
510,0,0,0,-12.0016978,-76.9994067
511,0,0,0,-12.0024078,-76.9986129
512,0,0,0,-12.0024065,-76.9985561
513,0,0,0,-12.0047199,-76.9966748
514,0,0,0,-12.0047261,-76.9966777
515,0,0,0,-12.0051079,-76.997607
516,0,0,0,-12.0049572,-76.9962468
517,0,0,0,-12.004648,-76.9961664
518,0,0,0,-12.0040257,-76.996887
519,0,0,0,-12.0046156,-76.9961284
520,0,0,0,-12.0045963,-76.9959507
521,5,1,5,-12.0045616,-76.9954227
522,0,0,0,-12.0044159,-76.9954128
523,1,2,2,-12.0045628,-76.9944415
524,0,0,0,-12.004624,-76.9944695
525,2,2,4,-12.0042675,-76.9931452
526,5,3,15,-12.005023,-76.9928254
527,5,3,15,-12.0062821,-76.9923816
528,5,3,15,-12.0065308,-76.9922337
529,0,0,0,-12.0069212,-76.992237
530,0,0,0,-12.0074583,-76.9919037
531,3,2,6,-12.0083426,-76.9920604
532,0,0,0,-12.0083242,-76.9920887
533,3,6,18,-12.0085334,-76.9921144
534,0,0,0,-12.003111,-76.9939892
535,0,0,0,-12.0022733,-76.9950446
536,1,6,6,-12.0026407,-76.9952361
537,0,0,0,-12.2248952,-76.9568571
538,0,0,0,-12.2249634,-76.9572334
539,35,6,210,-12.2256786,-76.9583803
540,0,0,0,-12.2255094,-76.9591011
541,35,6,210,-12.2248434,-76.9607608
542,35,6,210,-12.2271259,-76.9607725
543,0,0,0,-12.2258759,-76.9573462
544,0,0,0,-12.2253934,-76.9592172
